"Date","Price","Open","High","Low","Change %"
"May 09, 2011","12.200","12.200","12.200","12.200","0.00%"
"May 06, 2011","12.200","12.200","12.200","12.200","0.77%"
"May 05, 2011","12.107","12.107","12.107","12.107","0.00%"
"May 04, 2011","12.107","12.107","12.107","12.107","1.06%"
"Apr 29, 2011","11.980","11.980","11.980","11.980","0.00%"
"Apr 28, 2011","11.980","11.980","11.980","11.980","-0.21%"
"Apr 27, 2011","12.005","12.005","12.005","12.005","-0.37%"
"Apr 26, 2011","12.050","12.050","12.050","12.050","0.00%"
"Apr 25, 2011","12.050","12.050","12.050","12.050","0.37%"
"Apr 22, 2011","12.006","12.006","12.006","12.006","0.00%"
"Apr 21, 2011","12.006","12.006","12.006","12.006","0.00%"
"Apr 20, 2011","12.006","12.006","12.006","12.006","0.81%"
"Apr 19, 2011","11.910","11.910","11.910","11.910","0.34%"
"Apr 18, 2011","11.870","11.870","11.870","11.870","-0.02%"
"Apr 15, 2011","11.872","11.872","11.872","11.872","0.00%"
"Apr 14, 2011","11.872","11.872","11.872","11.872","0.20%"
"Apr 13, 2011","11.848","11.848","11.848","11.848","-0.76%"
"Apr 08, 2011","11.939","11.939","11.939","11.939","0.66%"
"Apr 07, 2011","11.861","11.861","11.861","11.861","0.20%"
"Apr 06, 2011","11.837","11.837","11.837","11.837","0.00%"
"Apr 05, 2011","11.837","11.837","11.837","11.837","0.69%"
"Apr 04, 2011","11.756","11.756","11.756","11.756","-0.67%"
"Apr 01, 2011","11.835","11.835","11.835","11.835","0.00%"
"Mar 31, 2011","11.835","11.835","11.835","11.835","0.34%"
"Mar 30, 2011","11.795","11.795","11.795","11.795","0.00%"
"Mar 29, 2011","11.795","11.795","11.795","11.795","0.22%"
"Mar 25, 2011","11.769","11.769","11.769","11.769","-0.62%"
"Mar 24, 2011","11.843","11.843","11.843","11.843","0.00%"
"Mar 23, 2011","11.843","11.843","11.843","11.843","0.44%"
"Mar 22, 2011","11.791","11.791","11.791","11.791","0.14%"
"Mar 18, 2011","11.774","11.774","11.774","11.774","0.10%"
"Mar 16, 2011","11.762","11.762","11.762","11.762","0.00%"
"Mar 15, 2011","11.762","11.762","11.762","11.762","0.02%"
"Mar 11, 2011","11.760","11.760","11.760","11.760","0.06%"
"Mar 10, 2011","11.753","11.753","11.753","11.753","1.22%"
"Mar 09, 2011","11.611","11.611","11.611","11.611","-0.23%"
"Mar 08, 2011","11.638","11.638","11.638","11.638","0.04%"
"Mar 07, 2011","11.633","11.633","11.633","11.633","-0.11%"
"Mar 03, 2011","11.646","11.646","11.646","11.646","0.74%"
"Mar 02, 2011","11.561","11.561","11.561","11.561","0.00%"
"Mar 01, 2011","11.561","11.561","11.561","11.561","0.14%"
"Feb 28, 2011","11.545","11.545","11.545","11.545","0.47%"
"Feb 23, 2011","11.491","11.491","11.491","11.491","0.63%"
"Feb 21, 2011","11.419","11.419","11.419","11.419","-0.01%"
"Feb 18, 2011","11.420","11.420","11.420","11.420","-0.46%"
"Feb 17, 2011","11.473","11.473","11.473","11.473","0.00%"
"Feb 16, 2011","11.473","11.473","11.473","11.473","0.38%"
"Feb 15, 2011","11.429","11.429","11.429","11.429","-0.16%"
"Feb 14, 2011","11.447","11.447","11.447","11.447","0.62%"
"Feb 10, 2011","11.376","11.376","11.376","11.376","0.04%"
"Jan 28, 2011","11.371","11.371","11.371","11.371","0.62%"
"Jan 27, 2011","11.301","11.301","11.301","11.301","0.60%"
"Jan 26, 2011","11.234","11.234","11.234","11.234","0.45%"
